SpMax_L,F04[C-N],C%,nO,HyWi_B(m),LOC,SM6_L,F03[C-O],Me,Mi,nN-N,nArNO2,nCRX3,SpPosA_B(p),nCIR,B01[C-Br],B03[C-Cl],N-073,SpMax_A,Psi_i_1d,B04[C-Br],SdO,TI2_L,Class*
4.807,0,43.8,1,3.297,0.881,9.833,3,1.012,1.113,0,0,0,1.295,1,0,1,0,2.246,-0.025,0,0,1.06,0
4.935,0,46.2,1,3.66,0.861,10.06,2,1.073,1.099,0,0,0,1.333,1,0,1,0,2.303,0.015,0,0,1.047,0
4.935,0,46.2,1,4.069,0.861,10.06,2,1.066,1.091,0,0,0,1.379,1,1,1,0,2.303,0.014,1,0,1.047,0
4.96,0,41.7,2,4.413,0.945,10.234,4,1.017,1.108,0,0,0,1.308,2,1,0,0,2.327,-0.001,1,0,2.814,0
4.804,6,50,4,4.203,0.465,10.828,12,1.02,1.108,0,0,0,1.269,3,0,0,0,2.283,0,0,23.61,6.12,0
5.427,0,42.9,2,3.875,0.68,11.012,10,0.985,1.119,0,0,0,1.261,2,0,0,0,2.381,0,0,0,4.151,0
4.499,0,40,0,2.924,1.125,9.311,0,0.965,1.125,0,0,0,1.266,1,0,0,0,2.136,0.039,0,0,1.481,0
4.958,0,32.3,1,3.186,1.16,10.099,3,0.973,1.141,0,0,0,1.202,1,0,0,0,2.303,-0.006,0,0,1.602,0
5.338,0,42.9,4,4.322,0.662,11.258,15,0.994,1.114,0,0,0,1.311,3,0,0,0,2.407,0,0,13.723,2.977,0
5.077,0,47.1,0,3.66,0.703,10.481,0,0.969,1.11,0,0,0,1.324,2,0,0,0,2.366,0,0,0,2.693,0
5.51,0,46.9,1,3.674,0.703,10.717,2,0.981,1.11,0,0,0,1.291,2,0,0,0,2.412,0,0,0,2.589,0
5.003,0,55.6,0,3.496,0.629,10.084,0,0.992,1.089,0,0,0,1.369,3,0,1,0,2.351,0.004,0,0,1.075,0
5.026,0,50,1,3.425,0.896,10.138,3,0.988,1.104,0,0,0,1.315,3,0,0,0,2.365,-0.002,0,0,1.339,0
5.382,0,50,2,3.928,0.932,11.101,8,0.992,1.104,0,0,0,1.303,6,0,0,0,2.522,0,0,25.043,2.006,0
5.318,0,58.3,2,3.898,0.682,10.772,8,1.021,1.084,0,0,0,1.325,6,0,1,0,2.508,0,0,24.364,1.393,0
4.91,0,52.6,0,3.468,0.629,10.06,0,0.98,1.083,0,0,0,1.409,3,0,0,0,2.333,0.004,0,0,1.207,0
5.014,2,54.5,0,3.548,0,10.384,0,0.983,1.098,0,0,0,1.364,6,0,0,1,2.469,-0.001,0,0,1.305,0
5.006,0,46.9,1,3.828,1.202,10.306,4,0.991,1.109,0,0,0,1.295,2,0,0,0,2.334,0,0,0,2.163,0
4.953,0,50,2,4.037,0.732,10.578,6,1.043,1.097,0,0,0,1.322,2,0,1,0,2.346,0,0,0,3.061,0
4.523,0,28.6,1,3.362,1.837,9.454,0,1.008,1.143,0,0,0,1.208,0,0,1,0,2.074,0.043,0,0,2.57,0
4.77,2,37.5,2,3.288,1.185,9.882,4,1.039,1.14,0,1,0,1.224,1,0,0,0,2.236,0.015,0,20.154,1.74,0
4.971,2,38.7,1,3.509,1.733,10.236,4,0.984,1.13,0,0,0,1.251,1,0,0,0,2.305,0.001,0,11.885,2.585,0
5.379,0,60.7,1,3.865,0.463,10.86,4,0.991,1.082,0,0,0,1.355,12,0,0,0,2.551,0,0,12.494,1.154,0
4.382,2,32.4,1,3.426,0.544,9.692,2,0.977,1.143,0,0,0,1.195,1,0,0,0,2.066,0.001,0,11.274,1.489,0
4.802,1,50,0,3.325,0,9.805,0,0.996,1.089,0,0,0,1.408,3,0,0,0,2.323,0.013,0,0,0.95,0
4.17,0,27.3,0,3.002,0.971,8.597,0,1.017,1.141,0,0,0,1.28,0,0,1,0,1.848,0.354,0,0,1.542,0
6.272,0,30.3,1,4.347,1.77,12.012,1,1.235,1.32,0,0,1,0.911,0,0,0,0,2.66,0,0,0,3.939,0
5.541,4,31,2,4.127,1.698,10.987,6,1.051,1.137,0,0,0,1.28,1,0,0,0,2.424,0,0,24.111,2.051,0
5.119,0,60,0,3.457,0,10.355,0,0.977,1.083,0,0,0,1.391,7,0,0,0,2.471,0.001,0,0,0.751,0
5.665,0,54.3,0,4,0.432,10.89,0,0.983,1.093,0,0,0,1.345,3,0,1,0,2.49,0,0,0,1.839,0
4.481,0,24,3,3.109,1.895,9.292,0,1.011,1.161,0,0,0,1.083,0,0,0,0,2.074,-0.026,0,0,2.02,0
4.214,1,23.1,2,2.68,1.459,8.755,1,1.031,1.166,0,0,0,1.083,0,0,0,0,1.902,-0.262,0,9.599,2.052,0
5.248,0,20.8,3,3.68,1.888,10.249,5,1.021,1.133,0,0,0,1.287,0,0,0,0,2.229,-0.008,0,10.819,3.06,0
4.953,4,38.9,0,4.176,2.296,10.707,0,0.967,1.128,0,0,0,1.265,2,0,0,1,2.343,0,0,0,6.238,0
4.753,2,38.9,0,4.176,2.296,10.68,0,0.967,1.128,0,0,0,1.262,2,0,0,1,2.295,0,0,0,7.067,0
5.366,3,35,2,3.484,1.16,10.405,4,1.018,1.125,0,0,0,1.27,1,0,0,0,2.342,-0.008,0,21.663,1.661,0
5.333,0,41.5,4,4.4,0.956,11.313,15,0.989,1.117,0,0,0,1.284,3,0,0,0,2.394,0,0,13.711,3.349,0
5.31,2,35.3,2,3.415,1.185,10.25,4,1.028,1.123,0,0,0,1.261,1,0,0,0,2.288,0.014,0,21.221,1.726,0
5.187,0,43.5,3,3.507,0.773,10.68,8,1.017,1.118,0,0,0,1.256,6,0,0,0,2.597,-0.001,0,22.622,1.14,0
5.394,3,37,4,4.137,0.978,11.021,8,1.066,1.122,0,0,0,1.274,2,0,1,0,2.465,0,0,33.791,2.542,0
4.303,0,25,0,2.909,0.862,9.067,0,1.004,1.146,0,0,0,1.3,1,0,0,0,2.115,0.131,0,0,0.956,0
4.842,0,41.2,4,3.459,1.258,10.136,6,1.069,1.127,0,0,0,1.18,1,0,0,0,2.278,0.005,0,20.567,2.113,0
4,0,26.7,1,2.626,0,8.623,0,0.998,1.158,0,0,0,1.095,1,0,0,0,2,0.128,0,0,0.667,0
5.286,6,27.3,6,3.792,1.622,10.617,12,1.048,1.159,0,0,0,1.111,1,0,0,0,2.458,0,0,35.324,1.615,0
5.406,7,43.9,4,4.279,0.777,11.11,10,1.024,1.116,0,1,0,1.28,3,0,0,1,2.428,0,0,47.783,3.924,0
4.868,1,34.8,1,3.292,1.16,10.076,2,0.998,1.143,0,0,0,1.235,1,0,0,0,2.288,-0.008,0,10.884,1.634,0
3.618,0,33.3,0,3.029,1.522,7.853,0,1.033,1.126,0,0,0,1.299,0,0,1,0,1.732,0.386,0,0,2.094,0
3.732,0,23.5,1,2.575,1.585,8.16,1,0.991,1.164,0,0,0,1.105,0,0,0,0,1.802,-0.226,0,0,2.488,0
4.629,0,31.3,1,2.83,1.379,9.312,3,0.998,1.148,0,0,0,1.211,0,0,0,0,2.053,0.143,0,10.319,1.776,0
3.879,0,33.3,0,3.091,2.281,8.743,0,0.998,1.152,0,0,0,1.251,0,0,0,0,1.902,0.047,0,0,3.685,0
4.709,2,25,0,3.751,1.792,10.014,0,0.997,1.115,0,0,0,1.399,0,0,0,0,2.152,-0.007,0,0,3.444,0
5.328,0,25.7,4,4.34,2.088,10.678,9,1.056,1.137,0,0,0,1.225,0,0,1,0,2.34,0,0,12.579,2.507,0
5.086,0,30.8,1,2.929,1.39,9.812,0,1.014,1.14,0,0,0,1.169,1,0,1,0,2.38,0.126,0,0,1.372,0
4.691,4,26.9,4,3.786,2.122,10.467,0,0.996,1.155,0,0,0,1.142,0,0,0,0,2.211,0,0,0,3.997,0
4.499,1,41.2,0,2.976,1.125,9.311,0,0.979,1.127,0,0,0,1.266,1,0,0,0,2.136,0.043,0,0,1.481,0
4.9,1,40.9,1,3.304,1.455,9.955,2,0.993,1.127,0,0,0,1.258,1,0,0,0,2.251,-0.008,0,10.87,2.15,0
4.757,4,50,0,3.915,0,10.525,0,0.983,1.108,0,0,0,1.313,3,0,0,2,2.295,0,0,0,4.15,0
4.593,2,39.1,0,3.168,1.461,9.665,0,0.974,1.13,0,0,0,1.283,1,0,0,0,2.175,0.013,0,0,2.298,0
5.563,9,33.3,6,4.018,1.153,11.151,12,1.044,1.146,0,3,0,1.214,1,0,0,0,2.546,0,0,67.469,1.406,0
5.371,0,39.3,1,3.351,1.124,10.524,3,0.978,1.126,0,0,0,1.273,1,0,0,0,2.364,0.004,0,0,1.718,0
4.901,1,48,3,4.028,0.946,10.601,8,1.051,1.107,0,1,0,1.295,2,0,1,0,2.329,0,0,20.982,3.43,0
4.813,1,38.9,3,3.37,1.273,9.947,6,1.041,1.132,0,1,0,1.209,1,0,0,0,2.259,-0.008,0,20.438,1.86,0
4.973,2,35,3,3.45,1.258,10.152,6,1.042,1.144,0,1,0,1.193,1,0,0,0,2.317,0.005,0,20.72,1.706,0
4.562,0,46.2,1,3.214,0.875,9.54,2,1.023,1.108,0,0,0,1.291,1,0,1,0,2.17,0.046,0,0,1.14,0
5.42,0,34.5,4,4.009,1.912,11.411,16,0.988,1.136,0,0,0,1.206,1,0,0,0,2.409,0,0,0,4.536,0
5.777,0,33.3,2,3.323,1.126,10.946,6,0.987,1.139,0,0,0,1.182,3,0,0,0,2.607,-0.002,0,0,1.274,0
5.256,0,34.6,1,3.133,0.861,10.335,2,0.977,1.136,0,0,0,1.252,1,0,0,0,2.327,0.012,0,11.089,1.037,0
4.928,0,56.3,0,3.82,0,10.506,0,0.975,1.091,0,0,0,1.345,3,0,0,0,2.348,0,0,0,3.091,0
5.003,0,52.4,0,3.338,0.629,10.084,0,0.972,1.099,0,0,0,1.349,3,0,0,0,2.351,0.004,0,0,1.075,0
4.732,0,48.1,2,3.633,0.648,10.3,4,0.998,1.108,0,0,0,1.276,2,0,0,0,2.275,0,0,0,3.095,0
5.174,1,42.9,4,4.049,1.282,10.904,11,1.009,1.121,0,0,0,1.236,2,0,0,0,2.42,0,0,23.818,3.572,0
4.924,0,45.2,1,3.608,1.429,10.32,4,0.981,1.114,0,0,0,1.299,3,0,0,0,2.348,0,0,0,2.904,0
5.509,2,35.7,6,4.086,1.096,11.165,12,1.063,1.116,0,0,0,1.251,3,0,0,0,2.511,0,0,44.995,1.996,0
4.861,0,35.7,0,3.092,0,9.863,0,0.963,1.133,0,0,0,1.222,3,0,0,0,2.303,-0.006,0,0,1.047,0
5.735,0,35.3,2,3.48,1.074,11.021,4,0.985,1.134,0,0,0,1.18,6,0,0,0,2.641,0,0,0,1.239,0
5.047,0,58.3,0,3.606,0,10.4,0,0.976,1.087,0,0,0,1.38,6,0,0,0,2.414,0,0,0,1.443,0
5.318,2,53.8,2,3.801,0.682,10.772,8,1.011,1.099,0,0,0,1.296,6,0,0,0,2.508,0,0,24.37,1.393,0
5.408,6,43.5,2,4.087,1.289,11.084,8,0.993,1.121,0,0,0,1.276,6,0,0,0,2.553,0,0,26.148,1.71,0
4.802,4,42.9,0,3.196,0,9.805,0,1.014,1.136,0,0,0,1.31,3,0,0,1,2.323,0.014,0,0,0.95,0
5.69,8,48.4,2,3.889,0.565,10.94,5,1.009,1.113,0,0,0,1.277,3,0,0,0,2.55,0,0,23.886,1.935,0
4,0,22.2,0,2.594,0.811,8.318,0,0.994,1.139,0,0,0,1.344,0,0,0,0,1.732,-0.59,0,0,1,0
4.562,0,25,0,4.705,0.918,9.184,0,1.071,1.077,0,0,0,1.641,0,1,0,0,2,-0.207,0,0,1.521,0
5.262,0,25,0,3.317,0.863,10.026,0,1.23,1.269,0,0,1,1.042,0,0,0,0,2.175,0.172,0,0,1.435,0
4.303,0,33.3,0,3.13,1.459,8.815,0,1.015,1.129,0,0,0,1.308,0,0,1,0,1.932,-0.227,0,0,1.745,0
6.242,3,30,0,4.727,1.637,12.421,0,1.311,1.377,0,0,3,0.883,0,0,0,0,2.694,0,0,0,2.922,0
3.802,0,26.7,1,3.2,1.95,8.394,0,1.026,1.145,0,0,0,1.197,0,0,0,0,1.848,0.139,0,0,2.885,0
4.228,0,26.3,2,2.746,1.557,8.891,0,0.998,1.153,0,0,0,1.103,0,0,0,0,1.932,0.136,0,0,2.535,0
5.13,0,32.1,1,3.095,1.761,10.106,1,0.974,1.141,0,0,0,1.237,0,0,0,0,2.175,-0.022,0,10.101,2.729,0
5.086,0,28.6,1,3.347,0.918,9.771,0,1.152,1.125,0,0,1,1.32,0,0,0,0,2.074,-0.263,0,9.431,1.372,0
4.236,1,31.9,1,3.915,3.554,10.042,1,0.969,1.143,0,0,0,1.198,0,0,0,0,1.995,0,0,10.604,9.701,0
4.303,0,15.4,3,2.917,1.459,8.815,4,1.038,1.155,0,0,0,1.172,0,0,0,0,1.932,-0.264,0,9.921,1.745,0
5.262,0,28.3,4,3.856,2.733,10.387,12,0.987,1.144,0,0,0,1.187,0,0,0,0,2.257,0,0,12.436,3.441,0
6.253,0,30.8,2,4.252,1.544,11.905,2,1.285,1.34,0,0,1,0.908,0,0,0,0,2.648,0,0,9.723,3.516,0
4.807,0,42.9,0,3.075,0.881,9.833,0,0.967,1.119,0,0,0,1.321,1,0,0,0,2.246,-0.023,0,0,1.06,0
5.236,0,46.7,0,5.013,0.799,10.434,0,1.045,1.058,0,0,0,1.58,1,1,0,0,2.414,0.004,1,0,0.873,0
4.562,2,37.5,0,2.997,0.875,9.54,0,0.991,1.14,0,0,0,1.242,1,0,0,0,2.17,0.045,0,0,1.14,0
4.658,2,38.1,1,3.314,1.455,9.9,1,1.003,1.137,0,0,0,1.239,1,0,0,0,2.22,-0.008,0,10.556,2.349,0
5.388,0,39.3,1,3.351,1.124,10.539,4,0.978,1.126,0,0,0,1.27,1,0,0,0,2.377,0.004,0,0,1.69,0
4.97,0,40.9,1,3.193,0.861,10.06,4,0.983,1.123,0,0,0,1.272,1,0,0,0,2.307,0.013,0,0,0.962,0
5.399,0,38.7,1,3.424,1.084,10.644,4,0.977,1.127,0,0,0,1.271,1,0,0,0,2.403,-0.002,0,0,1.65,0
4.807,0,43.8,1,3.297,0.881,9.833,2,1.012,1.113,0,0,0,1.298,1,0,1,0,2.246,-0.025,0,0,1.06,0
4.607,0,41.2,1,3.256,1.187,9.631,2,0.996,1.105,0,0,0,1.302,1,0,0,0,2.194,-0.025,0,0,1.544,0
5.313,0,40,1,3.564,1.697,10.592,2,0.976,1.125,0,0,0,1.274,1,0,0,0,2.329,-0.001,0,10.535,2.986,0
5.103,4,35,5,3.649,1.197,10.456,11,1.08,1.144,0,2,0,1.195,1,0,0,0,2.38,0.001,0,41.425,1.74,0
5.265,6,35.3,3,3.998,2.353,10.632,6,1.012,1.123,0,0,0,1.296,1,0,0,0,2.3,0,0,0,3.88,0
5.029,0,46.7,4,3.837,1.418,10.634,10,1.02,1.111,0,0,0,1.254,3,0,0,0,2.403,0,0,22.765,2.586,0
5.431,0,32.1,1,3.233,0.832,10.681,2,0.982,1.144,0,0,0,1.232,1,0,0,0,2.394,-0.007,0,11.254,1.055,0
5.287,9,35.3,9,4.319,2.346,11.029,21,1.043,1.14,0,0,0,1.178,1,0,0,0,2.462,0,0,71.167,3.396,0
4.869,9,44.4,4,4.435,1.073,11.072,9,1.016,1.123,0,1,0,1.261,3,0,0,0,2.314,0,0,33.54,6.465,0
5.158,36,56.1,0,4.902,0.257,11.817,0,1.007,1.093,0,0,0,1.41,147,0,1,2,2.622,0,0,0,1.535,0
5.076,0,54.5,0,3.792,0.673,10.327,0,1.003,1.089,0,0,0,1.364,2,0,1,0,2.363,-0.001,0,0,2.106,0